Scale,Baseline,RL Mean,BL Mean,Diff %,p-raw,p-adj,Sig,W/L,n_tests
S,Greedy-FR,39846,94772,-58.0,3.86e-07,2.31e-06,***,27/3,6
S,Greedy-PR,39846,94772,-58.0,3.86e-07,2.31e-06,***,27/3,6
S,Random,39846,110832,-64.0,2.61e-08,1.56e-07,***,29/1,6
S,Standby-Lazy,39846,60731,-34.4,5.38e-03,3.23e-02,*,25/5,6
S,Charge-High,39846,83962,-52.5,4.42e-06,2.65e-05,***,26/4,6
S,Charge-Opp,39846,83962,-52.5,4.42e-06,2.65e-05,***,26/4,6
M,Greedy-FR,286665,281349,+1.9,2.71e-01,1.00e+00,ns,9/21,6
M,Greedy-PR,286665,281349,+1.9,2.71e-01,1.00e+00,ns,9/21,6
M,Random,286665,396505,-27.7,1.42e-06,8.52e-06,***,26/4,6
M,Standby-Lazy,286665,224316,+27.8,2.77e-03,1.66e-02,*,4/26,6
M,Charge-High,286665,266218,+7.7,1.29e-01,7.76e-01,ns,8/22,6
M,Charge-Opp,286665,266218,+7.7,1.29e-01,7.76e-01,ns,8/22,6
L,Greedy-FR,662267,336386,+96.9,9.31e-09,5.59e-08,***,2/28,6
L,Greedy-PR,662267,336386,+96.9,9.31e-09,5.59e-08,***,2/28,6
L,Random,662267,474032,+39.7,1.86e-08,1.12e-07,***,1/29,6
L,Charge-High,662267,336386,+96.9,9.31e-09,5.59e-08,***,2/28,6
L,Charge-Opp,662267,336386,+96.9,9.31e-09,5.59e-08,***,2/28,6
L,Standby-Lazy,662267,418299,+58.3,1.86e-09,1.12e-08,***,0/30,6
XL,Greedy-FR,814344,809830,+0.6,6.55e-01,1.00e+00,ns,19/11,6
XL,Greedy-PR,814344,809830,+0.6,6.55e-01,1.00e+00,ns,19/11,6
XL,Random,814344,1011351,-19.5,1.37e-02,8.20e-02,ns,17/13,6
XL,Standby-Lazy,814344,696148,+17.0,5.77e-02,3.46e-01,ns,16/14,6
XL,Insert-MC,814344,747761,+8.9,3.60e-01,1.00e+00,ns,13/17,6
XL,Standby-LC,814344,762554,+6.8,3.71e-01,1.00e+00,ns,16/14,6
