Scale,Method,Travel,Charging,Tardiness,Idle,Rejection,Terminal,Shaping,Total,Rej %
S,RL-APC,1487,78,273,3323,0,8000,26684,39846,0
S,Greedy-FR,8729,1110,34274,4279,15333,1000,30047,94772,16
S,Standby-Lazy,1053,9,0,2982,38000,3000,15688,60731,63
M,RL-APC,3123,199,44,3629,0,41750,237921,286665,0
M,Greedy-FR,4087,336,1210,6182,218000,3750,47785,281349,77
M,Standby-Lazy,1686,6,0,4440,192333,4417,21434,224316,86
L,RL-APC,4598,276,11487,7322,0,77933,560651,662267,0
L,Greedy-FR (=Charge-High),12329,1341,16913,6064,168000,18467,113274,336386,50
XL,RL-APC,7035,392,6731,2052,14667,99200,684268,814344,2
XL,Greedy-FR,7889,509,354,2545,577333,18050,203150,809830,71
XL,Standby-Lazy,3672,4,0,8462,646333,9500,28177,696148,93
