event_type,rule_id,rule_name,count,frequency
CHARGE_DONE,1,STTF,1,0.0119
CHARGE_DONE,2,EDD,2,0.0238
CHARGE_DONE,3,MST,1,0.0119
CHARGE_DONE,9,Charge-Opp,12,0.1429
CHARGE_DONE,10,Standby-LowCost,13,0.1548
CHARGE_DONE,11,Standby-Lazy,32,0.3810
CHARGE_DONE,12,Standby-Heatmap,23,0.2738
DEADLOCK_RISK,1,STTF,4,0.0078
DEADLOCK_RISK,2,EDD,9,0.0175
DEADLOCK_RISK,3,MST,7,0.0136
DEADLOCK_RISK,4,HPF,2,0.0039
DEADLOCK_RISK,5,Charge-Urgent,1,0.0019
DEADLOCK_RISK,6,Charge-Low,8,0.0156
DEADLOCK_RISK,7,Charge-Med,4,0.0078
DEADLOCK_RISK,8,Charge-High,23,0.0448
DEADLOCK_RISK,9,Charge-Opp,390,0.7602
DEADLOCK_RISK,10,Standby-LowCost,17,0.0331
DEADLOCK_RISK,11,Standby-Lazy,27,0.0526
DEADLOCK_RISK,12,Standby-Heatmap,17,0.0331
DEADLOCK_RISK,15,Insert-MinCost,4,0.0078
ROBOT_IDLE,1,STTF,5,0.0010
ROBOT_IDLE,2,EDD,6,0.0012
ROBOT_IDLE,3,MST,3,0.0006
ROBOT_IDLE,4,HPF,4,0.0008
ROBOT_IDLE,5,Charge-Urgent,1,0.0002
ROBOT_IDLE,6,Charge-Low,3,0.0006
ROBOT_IDLE,7,Charge-Med,1,0.0002
ROBOT_IDLE,8,Charge-High,1,0.0002
ROBOT_IDLE,9,Charge-Opp,2889,0.5897
ROBOT_IDLE,10,Standby-LowCost,128,0.0261
ROBOT_IDLE,11,Standby-Lazy,1739,0.3550
ROBOT_IDLE,12,Standby-Heatmap,115,0.0235
ROBOT_IDLE,15,Insert-MinCost,4,0.0008
SOC_LOW,1,STTF,1,0.0132
SOC_LOW,4,HPF,1,0.0132
SOC_LOW,5,Charge-Urgent,1,0.0132
SOC_LOW,9,Charge-Opp,30,0.3947
SOC_LOW,10,Standby-LowCost,27,0.3553
SOC_LOW,11,Standby-Lazy,5,0.0658
SOC_LOW,12,Standby-Heatmap,11,0.1447
TASK_ARRIVAL,1,STTF,10,0.0186
TASK_ARRIVAL,2,EDD,13,0.0241
TASK_ARRIVAL,3,MST,10,0.0186
TASK_ARRIVAL,4,HPF,9,0.0167
TASK_ARRIVAL,6,Charge-Low,1,0.0019
TASK_ARRIVAL,7,Charge-Med,10,0.0186
TASK_ARRIVAL,8,Charge-High,13,0.0241
TASK_ARRIVAL,9,Charge-Opp,17,0.0315
TASK_ARRIVAL,13,Accept-Feasible,52,0.0965
TASK_ARRIVAL,14,Accept-Value,396,0.7347
TASK_ARRIVAL,15,Insert-MinCost,8,0.0148
