rule_id,rule_name,freq_L,freq_M,freq_S,freq_XL
1,STTF,0.0031,0.0014,0.0031,0.0034
2,EDD,0.0030,0.0011,0.0029,0.0049
3,MST,0.0023,0.0009,0.0028,0.0034
4,HPF,0.0033,0.0010,0.0031,0.0026
5,Charge-Urgent,0.0001,0.0002,0.0002,0.0005
6,Charge-Low,0.0033,0.0003,0.0003,0.0020
7,Charge-Med,0.0054,0.0011,0.0013,0.0025
8,Charge-High,0.0067,0.0011,0.0028,0.0061
9,Charge-Opp,0.2736,0.3003,0.4471,0.5462
10,Standby-LowCost,0.0401,0.0165,0.1021,0.0303
11,Standby-Lazy,0.5907,0.6451,0.3196,0.2950
12,Standby-Heatmap,0.0444,0.0154,0.1030,0.0272
13,Accept-Feasible,0.0010,0.0004,0.0015,0.0085
14,Accept-Value,0.0212,0.0144,0.0093,0.0648
15,Insert-MinCost,0.0018,0.0007,0.0008,0.0026
