Scale,Baseline,RL Mean,Baseline Mean,Diff %,p-value,Significance,W/T/L
S,Greedy-FR,39846,94772,-58.0,3.86e-07,***,27/0/3
S,Random,39846,110832,-64.0,2.61e-08,***,29/0/1
S,ALNS-FR,39846,12345,+222.8,4.42e-06,***,2/0/28
M,Greedy-FR,286665,281349,+1.9,2.71e-01,ns,9/0/21
M,Random,286665,396505,-27.7,1.42e-06,***,26/0/4
M,ALNS-FR,286665,53791,+432.9,1.30e-08,***,2/0/28
L,Greedy-FR,662267,336386,+96.9,9.31e-09,***,2/0/28
L,Random,662267,474032,+39.7,1.86e-08,***,1/0/29
XL,Greedy-FR,814344,809830,+0.6,6.55e-01,ns,19/0/11
XL,Random,814344,1011351,-19.5,1.37e-02,*,17/0/13
XL,ALNS-FR,814344,175546,+363.9,1.86e-09,***,0/0/30
